film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,category_id,actor_id
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",6,1
23,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,3,0.99,92,9.99,R,"Trailers,Deleted Scenes",2,1
25,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,3,2.99,74,15.99,G,Trailers,13,1
106,BULWORTH COMMANDMENTS,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,2006,1,4,2.99,61,14.99,G,Trailers,10,1
140,CHEAPER CLYDE,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,2006,1,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes",14,1
166,COLOR PHILADELPHIA,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,2006,1,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes",4,1
277,ELEPHANT TROJAN,A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon,2006,1,4,4.99,126,24.99,PG-13,Behind the Scenes,11,1
361,GLEAMING JAWBREAKER,A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies,2006,1,5,2.99,89,25.99,NC-17,"Trailers,Commentaries",15,1
438,HUMAN GRAFFITI,A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico,2006,1,3,2.99,68,22.99,NC-17,"Trailers,Behind the Scenes",10,1
499,KING EVOLUTION,A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon,2006,1,3,4.99,184,24.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",8,1
506,LADY STAGE,A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat,2006,1,4,4.99,67,14.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",11,1
509,LANGUAGE COWBOY,A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park,2006,1,5,0.99,78,26.99,NC-17,"Trailers,Deleted Scenes",3,1
605,MULHOLLAND BEAST,A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat,2006,1,7,2.99,157,13.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",9,1
635,OKLAHOMA JUMANJI,A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert,2006,1,7,0.99,58,15.99,PG,Behind the Scenes,13,1
749,RULES HUMAN,A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House,2006,1,6,4.99,153,19.99,R,"Deleted Scenes,Behind the Scenes",11,1
832,SPLASH GUMP,A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank,2006,1,5,0.99,175,16.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",8,1
939,VERTIGO NORTHWEST,A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan,2006,1,4,2.99,90,17.99,R,"Commentaries,Behind the Scenes",5,1
970,WESTWARD SEABISCUIT,A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China,2006,1,7,0.99,52,11.99,NC-17,"Commentaries,Deleted Scenes",4,1
980,WIZARD COLDBLOODED,A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention,2006,1,4,4.99,75,12.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",12,1
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",6,10
9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,1,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes",11,10
191,CROOKED FROGMEN,A Unbelieveable Drama of a Hunter And a Database Administrator who must Battle a Crocodile in An Abandoned Amusement Park,2006,1,6,0.99,143,27.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",3,10
236,DIVINE RESURRECTION,A Boring Character Study of a Man And a Womanizer who must Succumb a Teacher in An Abandoned Amusement Park,2006,1,4,2.99,100,19.99,R,"Trailers,Commentaries",10,10
251,DRAGONFLY STRANGERS,A Boring Documentary of a Pioneer And a Man who must Vanquish a Man in Nigeria,2006,1,6,4.99,133,19.99,NC-17,"Trailers,Behind the Scenes",13,10
366,GOLDFINGER SENSIBILITY,A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans,2006,1,3,0.99,93,29.99,G,"Trailers,Commentaries,Behind the Scenes",7,10
477,JAWBREAKER BROOKLYN,A Stunning Reflection of a Boat And a Pastry Chef who must Succumb a A Shark in A Jet Boat,2006,1,5,0.99,118,15.99,PG,"Trailers,Behind the Scenes",12,10
