film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,category_id,actor_id
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",6,1
2,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,3,0.99,92,9.99,R,"Trailers,Deleted Scenes",2,1
3,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,3,2.99,74,15.99,G,Trailers,13,1
4,BULWORTH COMMANDMENTS,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,2006,1,4,2.99,61,14.99,G,Trailers,10,1
5,CHEAPER CLYDE,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,2006,1,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes",14,1
6,COLOR PHILADELPHIA,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,2006,1,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes",4,1
7,ELEPHANT TROJAN,A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon,2006,1,4,4.99,126,24.99,PG-13,Behind the Scenes,11,1
8,GLEAMING JAWBREAKER,A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies,2006,1,5,2.99,89,25.99,NC-17,"Trailers,Commentaries",15,1
9,HUMAN GRAFFITI,A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico,2006,1,3,2.99,68,22.99,NC-17,"Trailers,Behind the Scenes",10,1
10,KING EVOLUTION,A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon,2006,1,3,4.99,184,24.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",8,1
11,LADY STAGE,A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat,2006,1,4,4.99,67,14.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",11,1
12,LANGUAGE COWBOY,A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park,2006,1,5,0.99,78,26.99,NC-17,"Trailers,Deleted Scenes",3,1
13,MULHOLLAND BEAST,A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat,2006,1,7,2.99,157,13.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",9,1
14,OKLAHOMA JUMANJI,A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert,2006,1,7,0.99,58,15.99,PG,Behind the Scenes,13,1
15,RULES HUMAN,A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House,2006,1,6,4.99,153,19.99,R,"Deleted Scenes,Behind the Scenes",11,1
16,SPLASH GUMP,A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank,2006,1,5,0.99,175,16.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",8,1
17,VERTIGO NORTHWEST,A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan,2006,1,4,2.99,90,17.99,R,"Commentaries,Behind the Scenes",5,1
18,WESTWARD SEABISCUIT,A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China,2006,1,7,0.99,52,11.99,NC-17,"Commentaries,Deleted Scenes",4,1
19,WIZARD COLDBLOODED,A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention,2006,1,4,4.99,75,12.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",12,1
20,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",6,10
21,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,1,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes",11,10
22,CROOKED FROGMEN,A Unbelieveable Drama of a Hunter And a Database Administrator who must Battle a Crocodile in An Abandoned Amusement Park,2006,1,6,0.99,143,27.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",3,10
23,DIVINE RESURRECTION,A Boring Character Study of a Man And a Womanizer who must Succumb a Teacher in An Abandoned Amusement Park,2006,1,4,2.99,100,19.99,R,"Trailers,Commentaries",10,10
24,DRAGONFLY STRANGERS,A Boring Documentary of a Pioneer And a Man who must Vanquish a Man in Nigeria,2006,1,6,4.99,133,19.99,NC-17,"Trailers,Behind the Scenes",13,10
25,GOLDFINGER SENSIBILITY,A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans,2006,1,3,0.99,93,29.99,G,"Trailers,Commentaries,Behind the Scenes",7,10
26,JAWBREAKER BROOKLYN,A Stunning Reflection of a Boat And a Pastry Chef who must Succumb a A Shark in A Jet Boat,2006,1,5,0.99,118,15.99,PG,"Trailers,Behind the Scenes",12,10
27,JEEPERS WEDDING,A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia,2006,1,3,2.99,84,29.99,R,"Trailers,Commentaries,Deleted Scenes",4,10
28,LIFE TWISTED,A Thrilling Reflection of a Teacher And a Composer who must Find a Man in The First Manned Space Station,2006,1,4,2.99,137,9.99,NC-17,"Commentaries,Deleted Scenes",5,10
29,LORD ARIZONA,A Action-Packed Display of a Frisbee And a Pastry Chef who must Pursue a Crocodile in A Jet Boat,2006,1,5,2.99,108,27.99,PG-13,Trailers,1,10
30,MOD SECRETARY,A Boring Documentary of a Mad Cow And a Cat who must Build a Lumberjack in New Orleans,2006,1,6,4.99,77,20.99,NC-17,"Commentaries,Behind the Scenes",6,10
31,PREJUDICE OLEANDER,A Epic Saga of a Boy And a Dentist who must Outrace a Madman in A U-Boat,2006,1,6,4.99,98,15.99,PG-13,"Trailers,Commentaries,Deleted Scenes",4,10
32,PUNK DIVORCE,A Fast-Paced Tale of a Pastry Chef And a Boat who must Face a Frisbee in The Canadian Rockies,2006,1,6,4.99,100,18.99,PG,"Trailers,Commentaries,Deleted Scenes",2,10
33,REAP UNFAITHFUL,A Thrilling Epistle of a Composer And a Sumo Wrestler who must Challenge a Mad Cow in A MySQL Convention,2006,1,6,2.99,136,26.99,PG-13,"Trailers,Commentaries",11,10
34,SHAKESPEARE SADDLE,A Fast-Paced Panorama of a Lumberjack And a Database Administrator who must Defeat a Madman in A MySQL Convention,2006,1,6,2.99,60,26.99,PG-13,"Commentaries,Behind the Scenes",15,10
35,TROUBLE DATE,A Lacklusture Panorama of a Forensic Psychologist And a Woman who must Kill a Explorer in Ancient Japan,2006,1,6,2.99,61,13.99,PG,"Trailers,Commentaries,Behind the Scenes",16,10
36,USUAL UNTOUCHABLES,A Touching Display of a Explorer And a Lumberjack who must Fight a Forensic Psychologist in A Shark Tank,2006,1,5,4.99,128,21.99,PG-13,"Trailers,Commentaries,Behind the Scenes",9,10
37,VACATION BOONDOCK,A Fanciful Character Study of a Secret Agent And a Mad Scientist who must Reach a Teacher in Australia,2006,1,4,2.99,145,23.99,R,Commentaries,14,10
38,WATERFRONT DELIVERANCE,A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria,2006,1,4,4.99,61,17.99,G,Behind the Scenes,1,10
39,WEDDING APOLLO,A Action-Packed Tale of a Student And a Waitress who must Conquer a Lumberjack in An Abandoned Mine Shaft,2006,1,3,0.99,70,14.99,PG,Trailers,6,10
40,WIZARD COLDBLOODED,A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention,2006,1,4,4.99,75,12.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",12,10
41,WON DARES,A Unbelieveable Documentary of a Teacher And a Monkey who must Defeat a Explorer in A U-Boat,2006,1,7,2.99,105,18.99,PG,Behind the Scenes,12,10
42,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",6,20
43,BANGER PINOCCHIO,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,2006,1,5,0.99,113,15.99,R,"Trailers,Commentaries,Deleted Scenes",12,20
44,BEDAZZLED MARRIED,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,2006,1,6,0.99,73,21.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",8,20
45,CHEAPER CLYDE,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,2006,1,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes",14,20
46,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,1,6,2.99,107,24.99,G,Commentaries,7,20
47,COLDBLOODED DARLING,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,2006,1,7,4.99,70,27.99,G,"Trailers,Deleted Scenes",14,20
48,DINOSAUR SECRETARY,A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies,2006,1,7,2.99,63,27.99,R,"Trailers,Behind the Scenes",8,20
49,DOORS PRESIDENT,A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico,2006,1,3,4.99,49,22.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2,20
50,EARRING INSTINCT,A Stunning Character Study of a Dentist And a Mad Cow who must Find a Teacher in Nigeria,2006,1,3,0.99,98,22.99,R,Behind the Scenes,8,20
51,EGG IGBY,A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station,2006,1,4,2.99,67,20.99,PG,"Commentaries,Behind the Scenes",6,20
52,GANDHI KWAI,A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin,2006,1,7,0.99,86,9.99,PG-13,Trailers,8,20
53,GOLDFINGER SENSIBILITY,A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans,2006,1,3,0.99,93,29.99,G,"Trailers,Commentaries,Behind the Scenes",7,20
54,HYDE DOCTOR,A Fanciful Documentary of a Boy And a Woman who must Redeem a Womanizer in A Jet Boat,2006,1,5,2.99,100,11.99,G,"Trailers,Deleted Scenes",4,20
55,JAWS HARRY,A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House,2006,1,4,2.99,112,10.99,G,Deleted Scenes,5,20
56,JUNGLE CLOSER,A Boring Character Study of a Boy And a Woman who must Battle a Astronaut in Australia,2006,1,6,0.99,134,11.99,NC-17,"Trailers,Commentaries,Deleted Scenes",13,20
57,KING EVOLUTION,A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon,2006,1,3,4.99,184,24.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",8,20
58,LOLA AGENT,A Astounding Tale of a Mad Scientist And a Husband who must Redeem a Database Administrator in Ancient Japan,2006,1,4,4.99,85,24.99,PG,"Trailers,Commentaries",11,20
59,LOSE INCH,A Stunning Reflection of a Student And a Technical Writer who must Battle a Butler in The First Manned Space Station,2006,1,3,0.99,137,18.99,R,"Trailers,Commentaries",9,20
60,LOVERBOY ATTACKS,A Boring Story of a Car And a Butler who must Build a Girl in Soviet Georgia,2006,1,7,0.99,162,19.99,PG-13,"Trailers,Behind the Scenes",13,20
61,MODERN DORADO,A Awe-Inspiring Story of a Butler And a Sumo Wrestler who must Redeem a Boy in New Orleans,2006,1,3,0.99,74,20.99,PG,"Trailers,Commentaries,Deleted Scenes",6,20
62,ORIENT CLOSER,A Astounding Epistle of a Technical Writer And a Teacher who must Fight a Squirrel in The Sahara Desert,2006,1,3,2.99,118,22.99,R,"Commentaries,Deleted Scenes",7,20
63,PAJAMA JAWBREAKER,A Emotional Drama of a Boy And a Technical Writer who must Redeem a Sumo Wrestler in California,2006,1,3,0.99,126,14.99,R,"Trailers,Deleted Scenes",4,20
64,PATIENT SISTER,A Emotional Epistle of a Squirrel And a Robot who must Confront a Lumberjack in Soviet Georgia,2006,1,7,0.99,99,29.99,NC-17,"Trailers,Commentaries",4,20
65,RANDOM GO,A Fateful Drama of a Frisbee And a Student who must Confront a Cat in A Shark Tank,2006,1,6,2.99,73,29.99,NC-17,Trailers,14,20
66,REAR TRADING,A Awe-Inspiring Reflection of a Forensic Psychologist And a Secret Agent who must Succumb a Pastry Chef in Soviet Georgia,2006,1,6,0.99,97,23.99,NC-17,"Trailers,Commentaries,Deleted Scenes",1,20
67,SAGEBRUSH CLUELESS,A Insightful Story of a Lumberjack And a Hunter who must Kill a Boy in Ancient Japan,2006,1,4,2.99,106,28.99,G,Trailers,6,20
68,SHANGHAI TYCOON,A Fast-Paced Character Study of a Crocodile And a Lumberjack who must Build a Husband in An Abandoned Fun House,2006,1,7,2.99,47,20.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",16,20
69,SUN CONFESSIONS,A Beautiful Display of a Mad Cow And a Dog who must Redeem a Waitress in An Abandoned Amusement Park,2006,1,5,0.99,141,9.99,R,"Trailers,Behind the Scenes",14,20
70,WASTELAND DIVINE,A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China,2006,1,7,2.99,85,18.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",4,20
71,WINDOW SIDE,A Astounding Character Study of a Womanizer And a Hunter who must Escape a Robot in A Monastery,2006,1,3,2.99,85,25.99,R,"Deleted Scenes,Behind the Scenes",16,20
72,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",6,30
73,BANG KWAI,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,2006,1,5,2.99,87,25.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",8,30
74,BEETHOVEN EXORCIST,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,2006,1,6,0.99,151,26.99,PG-13,"Commentaries,Behind the Scenes",7,30
75,BEVERLY OUTLAW,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,2006,1,3,2.99,85,21.99,R,Trailers,14,30
76,BIRDS PERDITION,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,2006,1,5,4.99,61,15.99,G,"Trailers,Behind the Scenes",13,30
77,BOONDOCK BALLROOM,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,2006,1,7,0.99,76,14.99,NC-17,Behind the Scenes,16,30
78,DUDE BLINDNESS,A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House,2006,1,3,4.99,132,9.99,G,"Trailers,Deleted Scenes",15,30
79,DUMBO LUST,A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico,2006,1,5,0.99,119,17.99,NC-17,Behind the Scenes,8,30
80,ENOUGH RAGING,A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert,2006,1,7,2.99,158,16.99,NC-17,Commentaries,16,30
81,EXCITEMENT EVE,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,2006,1,3,0.99,51,20.99,G,Commentaries,1,30
82,FAMILY SWEET,A Epic Documentary of a Teacher And a Boy who must Escape a Woman in Berlin,2006,1,4,0.99,155,24.99,R,Trailers,11,30
83,FIREHOUSE VIETNAM,A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert,2006,1,7,0.99,103,14.99,G,"Commentaries,Deleted Scenes",1,30
84,FLASH WARS,A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico,2006,1,3,4.99,123,21.99,NC-17,"Trailers,Commentaries,Behind the Scenes",13,30
85,GILBERT PELICAN,A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse,2006,1,7,0.99,114,13.99,G,"Trailers,Commentaries",4,30
